sample,time_s,x_in_V,d_in_V,y_out_V,e_out_V
0,0.000000,0.000000,0.000000,0.000000,0.000000
1,0.000100,0.094070,0.031403,0.000000,0.000000
2,0.000200,0.187134,0.062790,0.000000,0.000000
3,0.000300,0.278168,0.094101,0.000000,0.062790
4,0.000400,0.366196,0.125320,0.000000,0.062790
5,0.000500,0.450317,0.156433,0.000000,0.125320
6,0.000600,0.529648,0.187378,0.000000,0.125320
7,0.000700,0.603394,0.218140,0.000000,0.187378
8,0.000800,0.670853,0.248688,0.000000,0.187378
9,0.000900,0.731400,0.278976,0.000000,0.248688
10,0.001000,0.784531,0.309006,0.000000,0.248688
11,0.001100,0.829880,0.338730,0.000000,0.309006
12,0.001200,0.867126,0.368118,0.000000,0.309006
13,0.001300,0.896149,0.397141,0.000000,0.368118
14,0.001400,0.916916,0.425766,0.000000,0.368118
15,0.001500,0.929504,0.453979,0.000000,0.425766
16,0.001600,0.934158,0.481750,0.000031,0.425735
17,0.001700,0.931198,0.509033,0.000122,0.481628
18,0.001800,0.921082,0.535812,0.000244,0.481506
19,0.001900,0.904343,0.562073,0.000473,0.535339
20,0.002000,0.881668,0.587784,0.000793,0.535019
21,0.002100,0.853775,0.612900,0.001297,0.586487
22,0.002200,0.821472,0.637421,0.001923,0.585861
23,0.002300,0.785645,0.661301,0.002838,0.634583
24,0.002400,0.747208,0.684540,0.003937,0.633484
25,0.002500,0.707092,0.707092,0.005371,0.679169
26,0.002600,0.666290,0.728958,0.006989,0.677551
27,0.002700,0.625763,0.750107,0.009018,0.719940
28,0.002800,0.586441,0.770508,0.011230,0.717728
29,0.002900,0.549271,0.790146,0.013855,0.756653
30,0.003000,0.515121,0.809006,0.016602,0.753906
31,0.003100,0.484802,0.827072,0.019760,0.789246
32,0.003200,0.459061,0.844315,0.023041,0.785965
33,0.003300,0.438568,0.860733,0.026627,0.817688
34,0.003400,0.423889,0.876297,0.030258,0.814056
35,0.003500,0.415466,0.891006,0.034256,0.842041
36,0.003600,0.413681,0.904816,0.038208,0.838089
37,0.003700,0.418732,0.917740,0.042404,0.862411
38,0.003800,0.430756,0.929764,0.046539,0.858276
39,0.003900,0.449722,0.940872,0.050827,0.878937
40,0.004000,0.475525,0.951050,0.055008,0.874756
41,0.004100,0.507874,0.960281,0.059326,0.891724
42,0.004200,0.546417,0.968582,0.063538,0.887512
43,0.004300,0.590652,0.975906,0.067947,0.900635
44,0.004400,0.639999,0.982285,0.072266,0.896317
45,0.004500,0.693787,0.987686,0.076843,0.905441
46,0.004600,0.751236,0.992111,0.081360,0.900925
47,0.004700,0.811493,0.995560,0.086121,0.905991
48,0.004800,0.873672,0.998016,0.090988,0.901123
49,0.004900,0.936829,0.999496,0.096191,0.901825
50,0.005000,0.999985,1.000000,0.101562,0.896454
51,0.005100,1.062164,0.999496,0.107407,0.892593
52,0.005200,1.122360,0.998016,0.113617,0.886383
53,0.005300,1.179611,0.995560,0.120346,0.877670
54,0.005400,1.232986,0.992111,0.127548,0.870468
55,0.005500,1.281570,0.987686,0.135513,0.856598
56,0.005600,1.324554,0.982285,0.144135,0.847977
57,0.005700,1.361160,0.975906,0.153641,0.828644
58,0.005800,1.390747,0.968582,0.163971,0.818314
59,0.005900,1.412704,0.960281,0.175293,0.793289
